Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR101,AFOVERT Energy,,Katene Kadji,,Fuel Switching,Canceled,Not ARB Eligible,Niono,Niono District,ML,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,,AMS-I.E.: Switch from non-renewable biomass for thermal applications by the user,,,,,,
ACR102,Air Bag Gas Substitution,,Nike,ERT,Industrial Gas Substitution,Completed,Not ARB Eligible,Beaverton,OREGON,US,,7984006.0,Emission reductions through industrial gas substitution,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,,Inland Empire Utilities Agency,Ruby Canyon Environment,Livestock Waste Management,Completed,Not ARB Eligible,Chino,CALIFORNIA,US,,44202.0,Anaerobic Digestion,,,,,,
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",,Tany Meva Foundation,,Forest Carbon,Inactive,Not ARB Eligible,Ankotrofotsy,Miandrivazo,MG,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR105,Boa Vista A/R,,F.I.T Timber Ltd,SCS Global Services (Scientific Certification Systems),Forest Carbon,Canceled,Not ARB Eligible,Boa Vista,Roraima,BR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,3674586.0,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR106,Brickyard LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Danville,ILLINOIS,US,,138492.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR107,Camargo Fuel Substitution,,E+Co,CONSOT SRL – SERVICIOS DE CONSULTORIA,Fuel Switching,Completed,Not ARB Eligible,Camargo,Nor Ciniti,BO,,1138.0,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,,,,,,
ACR108,San Juan National Forest Carbon Demonstration Project,,National Forest Foundation,,Forest Carbon,Canceled,Not ARB Eligible,"Columbine Ranger District, 20 Miles North of Bayfield, CO",COLORADO,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR109,Chesapeake Mizer Pneumatic Retrofit,,Chesapeake Energy,,Industrial Process Emissions,Completed,Not ARB Eligible,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",541804.0,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,,,,,
ACR110,Chicago LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Chicago,ILLINOIS,US,,62262.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR111,Devon Mizer Pneumatic Retrofit,,Devon Energy Group,"Det Norske Veritas (U.S.A.), Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",5724.0,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,,,,,
ACR112,Dolton LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dolton,ILLINOIS,US,,159336.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR113,Greater New Bedford LFG,,Commonwealth Resource Management Corporation,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dartmouth,MASSACHUSETTS,US,,713162.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),,"GreenTrees, LLC","Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,Mississippi Alluvial Valley,ARKANSAS,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,6270862.0,Afforestation and Reforestation of Degraded Lands,,www.green-trees.com,,,,
ACR115,Lower Mississippi Valley Reforestation,,"Entergy Services, Inc","Environmental Services, Inc.",Forest Carbon,Registered,Not ARB Eligible,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley",LOUISIANA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,14934.0,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR116,Societe VERAMA Madagascar Afforestation Project,,Societe VERAMA,,Forest Carbon,Inactive,Not ARB Eligible,Masiloka Peninsula,Antonibe,MG,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR117,Merit Energy Geo-Seq,,Blue Source,Ruby Canyon Environment,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,LaBarge,WYOMING,US,,7308664.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR118,Monell Geo-Seq,,Anadarko,ICF International,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,Sweetwater County,WYOMING,US,,1748409.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR119,North Country LFG,,Commonwealth Resource Management Corporation,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Bethlehem,NEW HAMPSHIRE,US,,1592397.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR120,Petrosource Geo-Seq,,Blue Source,Ruby Canyon Environment,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,Crocket County,TEXAS,US,,2181419.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR121,Pike's Peak Geo-Seq,,Blue Source,Ruby Canyon Environment,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,Pecos County,TEXAS,US,,2866515.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR122,Romeoville LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Romeoville,ILLINOIS,US,,52496.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR123,Salt Creek Geo-Seq,,Anadarko,ICF International,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,"Salt Creek Field, Natrona Co.",WYOMING,US,,7675073.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR124,Schneider Anti-Idling,,Blue Source,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,,WISCONSIN,US,,42916.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR125,SEESA Solar Electrification,,E+Co,ERT,Renewable Energy,Completed,Not ARB Eligible,El Salvador,,SV,,169.0,Electricity generation by the user,,,,,,
ACR126,Seneca Meadows LFG,,Seneca Meadows,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Waterloo,NEW YORK,US,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",2470626.0,Offset Project Methodology for Landfill Methane Collection and Combustion,,,,,,
ACR127,Steuben County DPW LFG,,Environmental Capital LLC,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Bath,NEW YORK,US,,129180.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR128,Streator LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Streator,ILLINOIS,US,,47150.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR129,Tecnosol Solar Electrification,,E+Co,ERT,Renewable Energy,Completed,Not ARB Eligible,Nicaragua,,NI,,3913.0,Electricity generation by the user,,,,,,
ACR130,"Truck Stop Electrification, Alabama",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Alabama,ALABAMA,US,,8356.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR131,"Truck Stop Electrification, Arizona",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Arizona,ARIZONA,US,,11104.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR132,"Truck Stop Electrification, Arkansas",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Arkansas,ARKANSAS,US,,28069.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR133,"Truck Stop Electrification, California",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,California,CALIFORNIA,US,,21943.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR134,"Truck Stop Electrification, Colorado",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Colorado,COLORADO,US,,3671.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR135,"Truck Stop Electrification, Florida",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Florida,FLORIDA,US,,7348.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR136,"Truck Stop Electrification, Georgia",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Georgia,GEORGIA,US,,22220.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR137,"Truck Stop Electrification, Illinois",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Illinois,ILLINOIS,US,,20531.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR138,"Truck Stop Electrification, Indiana",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Indiana,INDIANA,US,,12150.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR139,"Truck Stop Electrification, Kentucky",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Kentucky,KENTUCKY,US,,4075.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR140,"Truck Stop Electrification, Louisianna",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Louisiana,LOUISIANA,US,,11603.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR141,"Truck Stop Electrification, Maryland",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Maryland,MARYLAND,US,,12112.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR142,"Truck Stop Electrification, Michigan",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Michigan,MICHIGAN,US,,4084.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR143,"Truck Stop Electrification, Minnesota",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Minnesota,MINNESOTA,US,,1785.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR144,"Truck Stop Electrification, Mississippi",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Mississippi,MISSISSIPPI,US,,4185.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR145,"Truck Stop Electrification, Missouri",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Missouri,MISSOURI,US,,5375.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR146,"Truck Stop Electrification, Nebraska",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Nebraska,NEBRASKA,US,,3124.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR147,"Truck Stop Electrification, New Jersey",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,New Jersey,NEW JERSEY,US,,7207.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR148,"Truck Stop Electrification, New Mexico",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,New Mexico,NEW MEXICO,US,,9483.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR149,"Truck Stop Electrification, North Carolina",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,North Carolina,NORTH CAROLINA,US,,8488.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR150,"Truck Stop Electrification, North Dakota",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,North Dakota,NORTH DAKOTA,US,,1351.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR151,"Truck Stop Electrification, Ohio",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Ohio,OHIO,US,,28663.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR152,"Truck Stop Electrification, Oklahoma",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Oklahoma,OKLAHOMA,US,,8165.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR153,"Truck Stop Electrification, Oregon",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Oregon,OREGON,US,,5583.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR154,"Truck Stop Electrification, Pennsylvania",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Pennsylvania,PENNSYLVANIA,US,,24818.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR155,"Truck Stop Electrification, South Carolina",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,South Carolina,SOUTH CAROLINA,US,,5329.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR156,"Truck Stop Electrification, Tennessee",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Tennessee,TENNESSEE,US,,19418.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR157,"Truck Stop Electrification, Texas",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Texas,TEXAS,US,,85912.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR158,"Truck Stop Electrification, Utah",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,Utah,UTAH,US,,3499.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR159,"Truck Stop Electrification, West Virginia",,IdleAir,Ruby Canyon Environment,Transport / Fleet Efficiency,Completed,Not ARB Eligible,West Virginia,WEST VIRGINIA,US,,2551.0,Emissions Reductions though Anti-Idling Technologies,,,,,,
ACR160,Tyson Wastewater Treatment,,Blue Source,"Det Norske Veritas (U.S.A.), Inc.",Wastewater Treatment,Completed,Not ARB Eligible,"Amarillo, TX; Joslin, IL; Lexington, NE; Storm Lake, IA",TEXAS,US,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",100000.0,Emission reductions through wastewater treatment,,,,,,
ACR161,Upper Rock LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,East Moline,ILLINOIS,US,,184632.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR162,International Paper,,Blue Source,URS,Energy Efficiency,Completed,Not ARB Eligible,"Bucksport, ME",MAINE,US,,439035.0,"Monitoring, Reporting and Verification Protocol for Cogeneration",,,,,,
ACR163,Des Plaines LFG to Energy,,Sexton Energy,"Landfills +, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,"Cook County, IL",ILLINOIS,US,,115875.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR164,DANC,,Environmental Capital LLC,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,"Rodman, NY",NEW YORK,US,,476553.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR165,Malhas Menegotti Industria Textil Fuel Switch,,Malhas Menegotti Industria Textil Ltda.,"Det Norske Veritas (U.S.A.), Inc.",Fuel Switching,Completed,Not ARB Eligible,"Jaraguá do Sul, Santa Catarina, Brazil",SC,BR,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",253991.0,AMS-I.C.: Thermal energy production with or without electricity,,,,,,
ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,,DuPont,ICF International,Industrial Process Emissions,Completed,Not ARB Eligible,"Orange, TX",TEXAS,US,,125000.0,Nitrous Oxide Abatement Protocol,,,,,,
ACR168,Angeles National Forest Carbon Demonstration Project,,National Forest Foundation,,Forest Carbon,Listed,Not ARB Eligible,Angeles National Forest - Santa Clara and Mojave Rivers Ranger Districts,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,Afforestation and Reforestation of Degraded Lands,,,,,,
ACR170,ECC ODS Destruction 2012,CAOD5002,Environmental Credit Corp.,SCS Engineers,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",307729.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.envcc.com,,,,
ACR171,Nitrous Oxide Reduction in Corn,,Delta Institute,"Environmental Services, Inc.",Agricultural Land Management,Completed,Not ARB Eligible,Reese,MICHIGAN,US,02: Zero Hunger;06: Clean Water and Sanitation;13: Climate Action,2.0,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,,,,,,
ACR172,EOS ARB ODS 2013-2,CAOD5004,EOS Climate Inc,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",55996.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.eosclimate.com,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,CAFR5028,Round Valley Indian Tribes,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,Mendocino County,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,597657.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR174,Blue Source - Bishop Improved Forest Management Project,,Heartwood Forestland Fund IV,,Forest Carbon,,ARB Inactive,Upper Peninsula MI,MICHIGAN,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR175,DPC Domestic ODS Destruction Project #12,,"Diversified Pure Chem, LLC",,Ozone Depleting Substances,,ARB Inactive,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.divpc.com,,,,
ACR176,ECC ODS Destruction 2013,CAOD5013,Environmental Credit Corp.,SCS Engineers,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",255227.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.envcc.com,,,,
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),,Statkraft Energias Renováveis S.A.,"Det Norske Veritas (U.S.A.), Inc.",Renewable Energy,Completed,Not ARB Eligible,Faxinalzinho and Nonoai,Rio Grande do Sul,BR,07: Affordable and Clean Energy;11: Sustainable Cities and Communities;13: Climate Action,673609.0,ACM0002: Consolidated baseline methodology for grid-connected electricity generation from renewable sources,,,,,,
ACR178,EOS ARB ODS 2013-4,,EOS Climate Inc,,Ozone Depleting Substances,,ARB Inactive,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.eosclimate.com,,,,
ACR179,Wabashco Clean Sweep I,CAOD5007,"Wabashco, LLC",Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",50600.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR181,EOS ARB ODS 2013-6,CAOD5015,EOS Climate Inc,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",51864.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.eosclimate.com,,,,
ACR182,Hanes Ranch Forest Carbon Project,CAFR5012,Hanes Ranch Inc.,,Forest Carbon,,Listed - Active ARB Project,Mendocino County,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,161645.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR183,D.P.C. Domestic ODS Destruction Project #12,,"Diversified Pure Chem, LLC",Ruby Canyon Environment,Ozone Depleting Substances,Completed,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",38517.0,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,,www.divpc.com,,,,
ACR184,EOS ACR 2013,,EOS Climate Inc,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,Completed,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",249025.0,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,,www.eosclimate.com,,,,
ACR186,Devil Fire Reforestation,,"W. M. Beaty & Associates, Inc.",,Forest Carbon,Inactive,ARB Inactive,Susanville,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,Climate Action Reserve Forest Project Protocol,,www.wmbeaty.com,,,,
ACR187,Storrie Fire Reforestation,,"W. M. Beaty & Associates, Inc.",,Forest Carbon,Inactive,ARB Inactive,Chester,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,Climate Action Reserve Forest Project Protocol,,www.wmbeaty.com,,,,
ACR188,"Truck Stop Electrification, BEF",,IdleAir,SCS Global Services (Scientific Certification Systems),Transport / Fleet Efficiency,Completed,Not ARB Eligible,Various,TENNESSEE,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",43549.0,Truck Stop Electrification,,,,,,
ACR189,Miller Forest,CAFR5016,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,,Forest Carbon,,Listed - Active ARB Project,5 miles west of Willow Creek,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,329552.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR190,Big Sky Dairy,CALS5023,"Camco Offsets I, LLC","Agri-Waste Technology, Inc.",Livestock Waste Management,,ARB Terminated,"Gooding, ID",IDAHO,US,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",194151.0,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,,,,,,
ACR191,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",,MS RENOVÁVEIS PARTICIPAÇÕES SOCIETÁRIAS S.A.,Ruby Canyon Environment,Renewable Energy,Registered,Not ARB Eligible,Ceará and Rio Grande do Norte States,Ceará and Rio Grande do Norte,BR,07: Affordable and Clean Energy;11: Sustainable Cities and Communities;13: Climate Action,610193.0,ACM0002: Consolidated baseline methodology for grid-connected electricity generation from renewable sources,,https://www.aesbrasil.com.br,,,,
ACR192,Green Assets-Brookgreen Gardens Improved Forest Management Project,,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",Forest Carbon,,Listed - Active ARB Project,Murrell's Inlet,SOUTH CAROLINA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,249524.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR193,EOS ARB ODS 2013-7,CAOD5035,EOS Climate Inc,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",84418.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.eosclimate.com,,,,
ACR195,EOS ARB ODS 2014-1,CAOD5049,EOS Climate Inc,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",122080.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.eosclimate.com,,,,
ACR196,RR ACR 2013,CAOD5027,"RapRec Refrigerants, Inc.","First Environment of California, Inc.",Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",56124.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.raprec.com,,,,
ACR197,San Juan National Forest Carbon Demonstration Project (II),,National Forest Foundation,SCS Global Services (Scientific Certification Systems),Forest Carbon,Listed,Not ARB Eligible,San Juan National Forest,COLORADO,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,Afforestation and Reforestation of Degraded Lands,,http://www.nationalforests.org/conserve/carbon/carboncapitalfund,,,,
ACR198,Wabashco Clean Sweep 2,CAOD5031,"Wabashco, LLC",Ruby Canyon Environment,Ozone Depleting Substances,,ARB Completed,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",88044.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR199,Finite Carbon - The Forestland Group CT Lakes,CAFR5034,Bluesource Sustainable Forests Company,GHD Limited,Forest Carbon,,Listed - Active ARB Project,Coos County,NEW HAMPSHIRE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2605916.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR200,Brush Creek,CAFR5200,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,6 miles northeast of Point Arena CA,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,147847.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR202,Blue Source- Goodman Improved Forest Management Project,,Blue Source,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,"Forest, Florence, and Marienette Counties in Wisconsin",WISCONSIN,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,1042993.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
