Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR528,Advanced Refrigeration CAL - ARS 002B,,"True Manufacturing Co., Inc.","First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"O'Fallon, MO",MISSOURI,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",41381.0,Advanced Refrigeration Systems,,,,,,
ACR529,Advanced Refrigeration CAN - ARS 002C,,"True Manufacturing Co., Inc.","First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"O'Fallon, MO",MISSOURI,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",32468.0,Advanced Refrigeration Systems,,,,,,
ACR530,Advanced Refrigeration CAL - ARS 003B,,"True Manufacturing Co., Inc.","First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"O'Fallon, MO",MISSOURI,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",52251.0,Advanced Refrigeration Systems,,,,,,
ACR531,Advanced Refrigeration CAN - ARS 003C,,"True Manufacturing Co., Inc.","First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"O'Fallon, MO",MISSOURI,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",37043.0,Advanced Refrigeration Systems,,,,,,
ACR532,Tradewater ODS 30,CAOD5532,"Tradewater, LLC","SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",108679.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR533,A-Gas 3-2020,CAOD5533,A-Gas US Inc.,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",81042.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,www.agasamericas.com,,,,
ACR534,Anew - Shaan Seet Native Community Forestry Project,,Blue Source,"S&A Carbon, LLC",Forest Carbon,Registered,Not ARB Eligible,Prince of Wales Island,ALASKA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,297383.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR535,Hudson Tech 2020-1,CAOD5535,Hudson Technologies Company,GHD Limited,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",89632.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR536,Tradewater ODS 31,CAOD5536,"Tradewater, LLC",Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",89898.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR537,Wabash Abandoned Mine Methane Recovery Project,CAMM5537,Keyrock Environment LLC,,Coal Mine Methane,,Listed - Active ARB Project,Mt. Carmel,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",67051.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
