Project ID,Project Name,Project Developer,Project Type,Project Site State,Project Site Country,Additional Certification(s),Vintage,Deposit Date,Offset Credits Deposited,Offset Credits Released,Offset Credits Retired,Offset Credits Canceled,Offset Credits Canceled for ARB,Buffer Pool Balance,Year Effective,CAR Buffer Data,Updated 11-1-23,Total Buffer Pool:,782813
CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2023,2023-08-04,8,0,0,0,0,8,2023,,,,
CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,8,0,0,0,0,8,2023,,,,
CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,339,0,0,0,0,339,2023,,,,
CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2021,2023-08-04,307,0,0,0,0,307,2023,,,,
CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2023,2023-08-04,4,0,0,0,0,4,2023,,,,
CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,189,0,0,0,0,189,2023,,,,
CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,4,0,0,0,0,4,2023,,,,
CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2021,2023-08-04,142,0,0,0,0,142,2023,,,,
CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2023,2023-08-04,6,0,0,0,0,6,2023,,,,
CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,5,0,0,0,0,5,2023,,,,
CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,237,0,0,0,0,237,2023,,,,
CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2021,2023-08-04,178,0,0,0,0,178,2023,,,,
CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2023,2023-08-04,2,0,0,0,0,2,2023,,,,
CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,EM,MX,,2022,2023-08-04,2,0,0,0,0,2,2023,,,,
